====================
density: 0.3
nodes: 20
Node have file: 2
=====================
ExperimentServent(0xb7414e6c): result: 1, tx: 106, rx: 74
ExperimentServent(0xb7417a6c): result: 1, tx: 83, rx: 78
ExperimentServent(0xb741752c): result: 1, tx: 17, rx: 38
ExperimentServent(0xb7417b0c): result: 1, tx: 30, rx: 37
ExperimentServent(0xb741788c): result: 1, tx: 53, rx: 34
ExperimentServent(0xb741774c): result: 1, tx: 15, rx: 24
=====================
ExperimentServent(0xb742b06c): result: 1, tx: 126, rx: 75
ExperimentServent(0xb73b852c): result: 1, tx: 21, rx: 59
ExperimentServent(0xb742b48c): result: 1, tx: 81, rx: 75
ExperimentServent(0xb73b84ac): result: 1, tx: 34, rx: 70
ExperimentServent(0xb7429fac): result: 1, tx: 66, rx: 45
ExperimentServent(0xb742b2ac): result: 1, tx: 16, rx: 51
ExperimentServent(0xb73b86ac): result: 1, tx: 99, rx: 87
ExperimentServent(0xb742bdac): result: 1, tx: 60, rx: 44
ExperimentServent(0xb73b862c): result: 1, tx: 15, rx: 36
ExperimentServent(0xb73b892c): result: 1, tx: 89, rx: 74
ExperimentServent(0xb73b85ac): result: 1, tx: 43, rx: 28
ExperimentServent(0xb73b8a6c): result: 1, tx: 33, rx: 38
ExperimentServent(0xb73b87ec): result: 1, tx: 67, rx: 52
ExperimentServent(0xb7429fcc): result: 1, tx: 41, rx: 42
ExperimentServent(0xb73b89cc): result: 1, tx: 34, rx: 42
ExperimentServent(0xb73b5e6c): result: 1, tx: 26, rx: 30
ExperimentServent(0xb73b888c): result: 1, tx: 37, rx: 29
ExperimentServent(0xb73b874c): result: 1, tx: 90, rx: 74
ExperimentServent(0xb742b10c): result: 1, tx: 22, rx: 31
ExperimentServent(0xb73b8b0c): result: 1, tx: 17, rx: 35
=====================
ExperimentServent(0xb73a552c): result: 1, tx: 72, rx: 51
ExperimentServent(0xb73a562c): result: 1, tx: 67, rx: 61
ExperimentServent(0xb74182ac): result: 1, tx: 72, rx: 54
ExperimentServent(0xb741848c): result: 1, tx: 99, rx: 81
ExperimentServent(0xb73a55ac): result: 1, tx: 101, rx: 80
ExperimentServent(0xb7416fac): result: 1, tx: 75, rx: 70
ExperimentServent(0xb741810c): result: 1, tx: 32, rx: 50
ExperimentServent(0xb7416fcc): result: 1, tx: 48, rx: 38
ExperimentServent(0xb73a57ec): result: 1, tx: 54, rx: 49
ExperimentServent(0xb73a2e6c): result: 1, tx: 24, rx: 46
ExperimentServent(0xb73a54ac): result: 1, tx: 153, rx: 95
ExperimentServent(0xb73a592c): result: 1, tx: 28, rx: 56
ExperimentServent(0xb73a56ac): result: 1, tx: 37, rx: 43
ExperimentServent(0xb73a574c): result: 1, tx: 21, rx: 50
ExperimentServent(0xb73a5b0c): result: 1, tx: 44, rx: 44
ExperimentServent(0xb73a59cc): result: 1, tx: 15, rx: 35
ExperimentServent(0xb741806c): result: 1, tx: 23, rx: 29
ExperimentServent(0xb7418dac): result: 1, tx: 11, rx: 25
ExperimentServent(0xb73a5a6c): result: 1, tx: 31, rx: 50
ExperimentServent(0xb73a588c): result: 1, tx: 9, rx: 9
=====================
ExperimentServent(0xb73b892c): result: 1, tx: 56, rx: 45
ExperimentServent(0xb742b10c): result: 1, tx: 50, rx: 45
ExperimentServent(0xb73b84ac): result: 1, tx: 14, rx: 48
ExperimentServent(0xb73b5e6c): result: 1, tx: 80, rx: 55
ExperimentServent(0xb73b85ac): result: 1, tx: 65, rx: 51
ExperimentServent(0xb73b888c): result: 1, tx: 82, rx: 58
ExperimentServent(0xb742bdac): result: 1, tx: 39, rx: 60
ExperimentServent(0xb73b87ec): result: 1, tx: 65, rx: 55
ExperimentServent(0xb742b2ac): result: 1, tx: 45, rx: 33
ExperimentServent(0xb73b86ac): result: 1, tx: 16, rx: 36
ExperimentServent(0xb73b89cc): result: 1, tx: 14, rx: 36
ExperimentServent(0xb7429fac): result: 1, tx: 23, rx: 31
ExperimentServent(0xb73b852c): result: 1, tx: 36, rx: 33
ExperimentServent(0xb73b8a6c): result: 1, tx: 46, rx: 53
ExperimentServent(0xb73b8b0c): result: 1, tx: 43, rx: 32
ExperimentServent(0xb73b874c): result: 1, tx: 26, rx: 30
ExperimentServent(0xb73b862c): result: 1, tx: 22, rx: 21
ExperimentServent(0xb7429fcc): result: 1, tx: 31, rx: 24
ExperimentServent(0xb742b48c): result: 1, tx: 9, rx: 14
ExperimentServent(0xb742b06c): result: 1, tx: 6, rx: 8
=====================
ExperimentServent(0xb73f2fcc): result: 1, tx: 83, rx: 66
ExperimentServent(0xb73f2fac): result: 1, tx: 122, rx: 67
ExperimentServent(0xb73f448c): result: 1, tx: 55, rx: 58
ExperimentServent(0xb73f4dac): result: 1, tx: 43, rx: 64
ExperimentServent(0xb73816ac): result: 1, tx: 16, rx: 51
ExperimentServent(0xb73f42ac): result: 1, tx: 59, rx: 53
ExperimentServent(0xb73814ac): result: 1, tx: 64, rx: 51
ExperimentServent(0xb737ee6c): result: 1, tx: 165, rx: 108
ExperimentServent(0xb738188c): result: 1, tx: 45, rx: 85
ExperimentServent(0xb738174c): result: 1, tx: 45, rx: 74
ExperimentServent(0xb738162c): result: 1, tx: 131, rx: 81
ExperimentServent(0xb73f410c): result: 1, tx: 18, rx: 42
ExperimentServent(0xb7381a6c): result: 1, tx: 50, rx: 51
ExperimentServent(0xb738152c): result: 1, tx: 28, rx: 41
ExperimentServent(0xb73f406c): result: 1, tx: 16, rx: 36
ExperimentServent(0xb73817ec): result: 1, tx: 60, rx: 32
ExperimentServent(0xb73819cc): result: 1, tx: 53, rx: 55
ExperimentServent(0xb7381b0c): result: 1, tx: 20, rx: 34
ExperimentServent(0xb738192c): result: 1, tx: 14, rx: 24
ExperimentServent(0xb73815ac): result: 1, tx: 1, rx: 15
=====================
ExperimentServent(0xb7475fcc): result: 1, tx: 150, rx: 99
ExperimentServent(0xb7475fac): result: 1, tx: 133, rx: 70
ExperimentServent(0xb7404a6c): result: 1, tx: 101, rx: 79
ExperimentServent(0xb747710c): result: 1, tx: 97, rx: 87
ExperimentServent(0xb7477dac): result: 1, tx: 56, rx: 59
ExperimentServent(0xb740474c): result: 1, tx: 125, rx: 81
ExperimentServent(0xb740462c): result: 1, tx: 33, rx: 56
ExperimentServent(0xb74044ac): result: 1, tx: 23, rx: 58
ExperimentServent(0xb740452c): result: 1, tx: 63, rx: 47
ExperimentServent(0xb740488c): result: 1, tx: 40, rx: 71
ExperimentServent(0xb747706c): result: 1, tx: 17, rx: 50
ExperimentServent(0xb74772ac): result: 1, tx: 53, rx: 82
ExperimentServent(0xb7404b0c): result: 1, tx: 118, rx: 96
ExperimentServent(0xb740492c): result: 1, tx: 23, rx: 72
ExperimentServent(0xb74049cc): result: 1, tx: 61, rx: 45
ExperimentServent(0xb74046ac): result: 1, tx: 20, rx: 40
ExperimentServent(0xb7401e6c): result: 1, tx: 12, rx: 23
ExperimentServent(0xb747748c): result: 1, tx: 21, rx: 27
ExperimentServent(0xb74045ac): result: 1, tx: 28, rx: 22
ExperimentServent(0xb74047ec): result: 1, tx: 13, rx: 23
=====================
ExperimentServent(0xb743e6ac): result: 1, tx: 144, rx: 86
ExperimentServent(0xb743e4ac): result: 1, tx: 84, rx: 63
ExperimentServent(0xb74b106c): result: 1, tx: 115, rx: 82
ExperimentServent(0xb74b110c): result: 1, tx: 57, rx: 50
ExperimentServent(0xb743e74c): result: 1, tx: 69, rx: 60
ExperimentServent(0xb743e5ac): result: 1, tx: 46, rx: 58
ExperimentServent(0xb743be6c): result: 1, tx: 71, rx: 52
ExperimentServent(0xb74affac): result: 1, tx: 21, rx: 62
ExperimentServent(0xb743e52c): result: 1, tx: 29, rx: 81
ExperimentServent(0xb74affcc): result: 1, tx: 37, rx: 51
ExperimentServent(0xb743e9cc): result: 1, tx: 120, rx: 92
ExperimentServent(0xb743e62c): result: 1, tx: 76, rx: 46
ExperimentServent(0xb74b1dac): result: 1, tx: 84, rx: 49
ExperimentServent(0xb74b12ac): result: 1, tx: 40, rx: 48
ExperimentServent(0xb743e7ec): result: 1, tx: 17, rx: 62
ExperimentServent(0xb743eb0c): result: 1, tx: 33, rx: 56
ExperimentServent(0xb743e92c): result: 1, tx: 15, rx: 33
ExperimentServent(0xb743e88c): result: 1, tx: 40, rx: 42
ExperimentServent(0xb743ea6c): result: 1, tx: 17, rx: 36
ExperimentServent(0xb74b148c): result: 1, tx: 13, rx: 19
=====================
ExperimentServent(0xb73c55ac): result: 1, tx: 98, rx: 59
ExperimentServent(0xb73c54ac): result: 1, tx: 31, rx: 69
ExperimentServent(0xb73c574c): result: 1, tx: 104, rx: 57
ExperimentServent(0xb73c562c): result: 1, tx: 61, rx: 46
ExperimentServent(0xb73c56ac): result: 1, tx: 63, rx: 49
ExperimentServent(0xb7436fac): result: 1, tx: 74, rx: 52
ExperimentServent(0xb73c2e6c): result: 1, tx: 60, rx: 44
ExperimentServent(0xb7438dac): result: 1, tx: 53, rx: 97
ExperimentServent(0xb73c592c): result: 1, tx: 47, rx: 50
ExperimentServent(0xb73c5b0c): result: 1, tx: 66, rx: 78
ExperimentServent(0xb743810c): result: 1, tx: 49, rx: 39
ExperimentServent(0xb73c552c): result: 1, tx: 53, rx: 34
ExperimentServent(0xb73c59cc): result: 1, tx: 37, rx: 68
ExperimentServent(0xb74382ac): result: 1, tx: 13, rx: 45
ExperimentServent(0xb743848c): result: 1, tx: 103, rx: 58
ExperimentServent(0xb743806c): result: 1, tx: 52, rx: 66
ExperimentServent(0xb73c5a6c): result: 1, tx: 15, rx: 34
ExperimentServent(0xb73c588c): result: 1, tx: 17, rx: 31
ExperimentServent(0xb73c57ec): result: 1, tx: 13, rx: 23
ExperimentServent(0xb7436fcc): result: 1, tx: 11, rx: 21
=====================
ExperimentServent(0xb7453e4c): result: 1, tx: 62, rx: 50
ExperimentServent(0xb74557cc): result: 1, tx: 99, rx: 59
ExperimentServent(0xb74c810c): result: 1, tx: 89, rx: 76
ExperimentServent(0xb74c806c): result: 1, tx: 49, rx: 43
ExperimentServent(0xb74c82ac): result: 1, tx: 56, rx: 44
ExperimentServent(0xb745572c): result: 1, tx: 47, rx: 53
ExperimentServent(0xb7455aec): result: 1, tx: 62, rx: 59
ExperimentServent(0xb745558c): result: 1, tx: 48, rx: 55
ExperimentServent(0xb745568c): result: 1, tx: 56, rx: 47
ExperimentServent(0xb745560c): result: 1, tx: 27, rx: 37
ExperimentServent(0xb74c6fcc): result: 1, tx: 13, rx: 39
ExperimentServent(0xb745550c): result: 1, tx: 35, rx: 66
ExperimentServent(0xb74c6fac): result: 1, tx: 13, rx: 31
ExperimentServent(0xb74c848c): result: 1, tx: 21, rx: 26
ExperimentServent(0xb745548c): result: 1, tx: 32, rx: 28
ExperimentServent(0xb74559ac): result: 1, tx: 42, rx: 42
ExperimentServent(0xb745590c): result: 1, tx: 20, rx: 35
ExperimentServent(0xb745586c): result: 1, tx: 50, rx: 33
ExperimentServent(0xb7455a4c): result: 1, tx: 20, rx: 35
ExperimentServent(0xb74c8dac): result: 1, tx: 35, rx: 18
=====================
ExperimentServent(0xb7389e6c): result: 1, tx: 132, rx: 75
ExperimentServent(0xb738c6ac): result: 1, tx: 71, rx: 58
ExperimentServent(0xb73ff06c): result: 1, tx: 75, rx: 64
ExperimentServent(0xb738c7ec): result: 1, tx: 129, rx: 106
ExperimentServent(0xb738c9cc): result: 1, tx: 95, rx: 79
ExperimentServent(0xb738c74c): result: 1, tx: 52, rx: 78
ExperimentServent(0xb73fdfac): result: 1, tx: 67, rx: 47
ExperimentServent(0xb738c5ac): result: 1, tx: 60, rx: 64
ExperimentServent(0xb73ff48c): result: 1, tx: 91, rx: 74
ExperimentServent(0xb738c52c): result: 1, tx: 18, rx: 77
ExperimentServent(0xb738c88c): result: 1, tx: 15, rx: 58
ExperimentServent(0xb738c4ac): result: 1, tx: 29, rx: 40
ExperimentServent(0xb73fdfcc): result: 1, tx: 22, rx: 34
ExperimentServent(0xb738c92c): result: 1, tx: 64, rx: 48
ExperimentServent(0xb738c62c): result: 1, tx: 39, rx: 49
ExperimentServent(0xb738cb0c): result: 1, tx: 29, rx: 54
ExperimentServent(0xb738ca6c): result: 1, tx: 45, rx: 44
ExperimentServent(0xb73ff10c): result: 1, tx: 40, rx: 27
ExperimentServent(0xb73ff2ac): result: 1, tx: 33, rx: 26
ExperimentServent(0xb73ffdac): result: 1, tx: 13, rx: 17
=====================
ExperimentServent(0xb73fa10c): result: 1, tx: 90, rx: 66
ExperimentServent(0xb73876ac): result: 1, tx: 105, rx: 72
ExperimentServent(0xb73f8fcc): result: 1, tx: 16, rx: 70
ExperimentServent(0xb7384e6c): result: 1, tx: 130, rx: 76
ExperimentServent(0xb73f8fac): result: 1, tx: 72, rx: 62
ExperimentServent(0xb73fadac): result: 1, tx: 14, rx: 55
ExperimentServent(0xb73fa48c): result: 1, tx: 63, rx: 58
ExperimentServent(0xb73877ec): result: 1, tx: 74, rx: 58
ExperimentServent(0xb73874ac): result: 1, tx: 29, rx: 60
ExperimentServent(0xb73fa06c): result: 1, tx: 34, rx: 37
ExperimentServent(0xb73875ac): result: 1, tx: 51, rx: 37
ExperimentServent(0xb738752c): result: 1, tx: 56, rx: 45
ExperimentServent(0xb738792c): result: 1, tx: 36, rx: 37
ExperimentServent(0xb73fa2ac): result: 1, tx: 43, rx: 44
ExperimentServent(0xb738788c): result: 1, tx: 28, rx: 53
ExperimentServent(0xb73879cc): result: 1, tx: 24, rx: 66
ExperimentServent(0xb738774c): result: 1, tx: 64, rx: 56
ExperimentServent(0xb7387a6c): result: 1, tx: 50, rx: 43
ExperimentServent(0xb738762c): result: 1, tx: 14, rx: 22
ExperimentServent(0xb7387b0c): result: 1, tx: 52, rx: 28
=====================
ExperimentServent(0xb73b05ac): result: 1, tx: 17, rx: 60
ExperimentServent(0xb7421fcc): result: 1, tx: 42, rx: 42
ExperimentServent(0xb7421fac): result: 1, tx: 68, rx: 42
ExperimentServent(0xb74232ac): result: 1, tx: 28, rx: 38
ExperimentServent(0xb73b07ec): result: 1, tx: 35, rx: 44
ExperimentServent(0xb73b062c): result: 1, tx: 36, rx: 41
ExperimentServent(0xb73b052c): result: 1, tx: 53, rx: 31
ExperimentServent(0xb73b074c): result: 1, tx: 21, rx: 60
ExperimentServent(0xb73b06ac): result: 1, tx: 62, rx: 44
ExperimentServent(0xb7423dac): result: 1, tx: 27, rx: 38
ExperimentServent(0xb742306c): result: 1, tx: 80, rx: 46
ExperimentServent(0xb73b092c): result: 1, tx: 58, rx: 37
ExperimentServent(0xb742348c): result: 1, tx: 14, rx: 31
ExperimentServent(0xb73b04ac): result: 1, tx: 42, rx: 26
ExperimentServent(0xb73ade6c): result: 1, tx: 40, rx: 25
ExperimentServent(0xb73b0b0c): result: 1, tx: 47, rx: 54
ExperimentServent(0xb73b09cc): result: 1, tx: 71, rx: 63
ExperimentServent(0xb742310c): result: 1, tx: 35, rx: 32
ExperimentServent(0xb73b0a6c): result: 1, tx: 26, rx: 38
ExperimentServent(0xb73b088c): result: 1, tx: 19, rx: 29
