====================
Prob: 0.5
nodes: 40
Node have file: 10
===================================================1
ExperimentServent(0x9fe3d0): result: 1, tx: 23, rx: 29
ExperimentServent(0x9fe344): result: 1, tx: 4, rx: 30
ExperimentServent(0x9fe358): result: 1, tx: 49, rx: 41
ExperimentServent(0x9fe80e): result: 1, tx: 113, rx: 60
ExperimentServent(0x9fe82c): result: 1, tx: 78, rx: 43
ExperimentServent(0x9fe822): result: 1, tx: 60, rx: 35
ExperimentServent(0x9fe33c): result: 1, tx: 44, rx: 41
ExperimentServent(0x9fe3bc): result: 1, tx: 71, rx: 40
ExperimentServent(0x9fe840): result: 1, tx: 68, rx: 40
ExperimentServent(0x9fe34e): result: 1, tx: 41, rx: 25
ExperimentServent(0x9fe3b2): result: 1, tx: 49, rx: 36
ExperimentServent(0x9fe846): result: 1, tx: 4, rx: 39
=================================================================4
ExperimentServent(0xa68d2c): result: 1, tx: 34, rx: 39
ExperimentServent(0xa68d4e): result: 1, tx: 4, rx: 37
ExperimentServent(0xa68dee): result: 1, tx: 23, rx: 35
ExperimentServent(0xa68d24): result: 1, tx: 4, rx: 43
ExperimentServent(0xa67dec): result: 1, tx: 71, rx: 47
ExperimentServent(0xa69218): result: 1, tx: 4, rx: 35
ExperimentServent(0xa68d62): result: 1, tx: 63, rx: 34
ExperimentServent(0xa68d1c): result: 1, tx: 87, rx: 44
ExperimentServent(0xa67d3c): result: 1, tx: 83, rx: 128
ExperimentServent(0xa69252): result: 1, tx: 64, rx: 75
ExperimentServent(0xa68d76): result: 1, tx: 71, rx: 47
ExperimentServent(0xa67d72): result: 1, tx: 24, rx: 29
ExperimentServent(0xa68d58): result: 1, tx: 23, rx: 31
ExperimentServent(0xa68d80): result: 1, tx: 51, rx: 32
ExperimentServent(0xa68df8): result: 1, tx: 4, rx: 32
ExperimentServent(0xa68d44): result: 1, tx: 4, rx: 24
ExperimentServent(0xa68dda): result: 1, tx: 4, rx: 34
ExperimentServent(0xa68d6c): result: 1, tx: 32, rx: 38
ExperimentServent(0xa6920e): result: 1, tx: 4, rx: 29
ExperimentServent(0xa69248): result: 1, tx: 74, rx: 55
ExperimentServent(0xa68d8a): result: 1, tx: 40, rx: 29
ExperimentServent(0xa68de4): result: 1, tx: 24, rx: 35
ExperimentServent(0xa6923e): result: 1, tx: 103, rx: 197
ExperimentServent(0xa6922a): result: 1, tx: 72, rx: 42
ExperimentServent(0xa69234): result: 1, tx: 65, rx: 36
ExperimentServent(0xa69220): result: 1, tx: 46, rx: 18
ExperimentServent(0xa68da8): result: 1, tx: 94, rx: 55
ExperimentServent(0xa68d34): result: 1, tx: 52, rx: 28
ExperimentServent(0xa69204): result: 1, tx: 125, rx: 83
ExperimentServent(0xa68dbc): result: 1, tx: 72, rx: 44
ExperimentServent(0xa68db2): result: 1, tx: 45, rx: 24
ExperimentServent(0xa68d9e): result: 1, tx: 64, rx: 29
ExperimentServent(0xa68d94): result: 1, tx: 4, rx: 38
ExperimentServent(0xa68dc6): result: 1, tx: 39, rx: 26
ExperimentServent(0xa68dd0): result: 1, tx: 66, rx: 37
==============================================================5
ExperimentServent(0xa17f22): result: 1, tx: 115, rx: 71
ExperimentServent(0xa18f34): result: 1, tx: 91, rx: 78
ExperimentServent(0xa17f3c): result: 1, tx: 98, rx: 66
ExperimentServent(0xa18f3c): result: 1, tx: 91, rx: 61
ExperimentServent(0xa17f72): result: 1, tx: 27, rx: 37
ExperimentServent(0xa18f94): result: 1, tx: 61, rx: 55
ExperimentServent(0xa18f1c): result: 1, tx: 65, rx: 42
ExperimentServent(0xa18f62): result: 1, tx: 129, rx: 78
ExperimentServent(0xa18f9e): result: 1, tx: 5, rx: 47
ExperimentServent(0xa18f76): result: 1, tx: 5, rx: 39
ExperimentServent(0xa18fa8): result: 1, tx: 74, rx: 66
ExperimentServent(0xa18fb2): result: 1, tx: 27, rx: 47
ExperimentServent(0xa18f58): result: 1, tx: 72, rx: 49
ExperimentServent(0xa18f6c): result: 1, tx: 42, rx: 46
ExperimentServent(0xa17fec): result: 1, tx: 90, rx: 62
ExperimentServent(0xa18f8a): result: 1, tx: 83, rx: 104
ExperimentServent(0xa18f4e): result: 1, tx: 6, rx: 41
ExperimentServent(0xa18f44): result: 1, tx: 63, rx: 75
ExperimentServent(0xa18f80): result: 1, tx: 170, rx: 112
ExperimentServent(0xa18fc6): result: 1, tx: 5, rx: 44
ExperimentServent(0xa19418): result: 1, tx: 122, rx: 77
ExperimentServent(0xa18fee): result: 1, tx: 6, rx: 48
ExperimentServent(0xa18f24): result: 1, tx: 124, rx: 75
ExperimentServent(0xa1940e): result: 1, tx: 122, rx: 62
ExperimentServent(0xa18f2c): result: 1, tx: 107, rx: 63
ExperimentServent(0xa19422): result: 1, tx: 114, rx: 77
ExperimentServent(0xa18fbc): result: 1, tx: 5, rx: 47
ExperimentServent(0xa19436): result: 1, tx: 142, rx: 84
ExperimentServent(0xa18fe4): result: 1, tx: 123, rx: 94
ExperimentServent(0xa1943c): result: 1, tx: 6, rx: 71
ExperimentServent(0xa18fda): result: 1, tx: 108, rx: 60
ExperimentServent(0xa19404): result: 1, tx: 5, rx: 40
ExperimentServent(0xa19448): result: 1, tx: 101, rx: 243
ExperimentServent(0xa1942c): result: 1, tx: 117, rx: 60
ExperimentServent(0xa19452): result: 1, tx: 136, rx: 257
ExperimentServent(0xa18ff8): result: 1, tx: 135, rx: 56
ExperimentServent(0xa18fd0): result: 1, tx: 5, rx: 48
==============================================================6
ExperimentServent(0x8f2562): result: 1, tx: 150, rx: 97
ExperimentServent(0x8f256c): result: 1, tx: 20, rx: 30
ExperimentServent(0x8f258a): result: 1, tx: 121, rx: 49
ExperimentServent(0x8f2544): result: 1, tx: 55, rx: 39
ExperimentServent(0x8f2576): result: 1, tx: 143, rx: 75
ExperimentServent(0x8f259e): result: 1, tx: 28, rx: 52
ExperimentServent(0x8f254e): result: 1, tx: 74, rx: 39
ExperimentServent(0x8f25a8): result: 1, tx: 96, rx: 68
ExperimentServent(0x8f153c): result: 1, tx: 25, rx: 45
ExperimentServent(0x8f2558): result: 1, tx: 73, rx: 194
ExperimentServent(0x8f25e4): result: 1, tx: 6, rx: 51
ExperimentServent(0x8f253c): result: 1, tx: 53, rx: 41
ExperimentServent(0x8f2534): result: 1, tx: 151, rx: 98
ExperimentServent(0x8f1520): result: 1, tx: 108, rx: 50
ExperimentServent(0x8f2580): result: 1, tx: 183, rx: 121
ExperimentServent(0x8f2a0e): result: 1, tx: 4, rx: 27
ExperimentServent(0x8f1572): result: 1, tx: 74, rx: 37
ExperimentServent(0x8f2594): result: 1, tx: 42, rx: 42
ExperimentServent(0x8f2a1a): result: 1, tx: 38, rx: 41
ExperimentServent(0x8f25b2): result: 1, tx: 99, rx: 141
ExperimentServent(0x8f25d0): result: 1, tx: 77, rx: 36
ExperimentServent(0x8f25da): result: 1, tx: 4, rx: 42
ExperimentServent(0x8f2a04): result: 1, tx: 80, rx: 41
ExperimentServent(0x8f25c6): result: 1, tx: 23, rx: 39
ExperimentServent(0x8f25ee): result: 1, tx: 5, rx: 30
ExperimentServent(0x8f2a2e): result: 1, tx: 108, rx: 147
ExperimentServent(0x8f2a34): result: 1, tx: 5, rx: 40
ExperimentServent(0x8f2a52): result: 1, tx: 86, rx: 95
ExperimentServent(0x8f2524): result: 1, tx: 37, rx: 30
ExperimentServent(0x8f252c): result: 1, tx: 5, rx: 59
ExperimentServent(0x8f25bc): result: 1, tx: 49, rx: 44
ExperimentServent(0x8f2a3c): result: 1, tx: 4, rx: 31
ExperimentServent(0x8f2a24): result: 1, tx: 105, rx: 71
ExperimentServent(0x8f2a48): result: 1, tx: 119, rx: 71
ExperimentServent(0x8f25f8): result: 1, tx: 76, rx: 157
================================================================7
ExperimentServent(0x9aba2c): result: 1, tx: 89, rx: 75
ExperimentServent(0x9aaa22): result: 1, tx: 136, rx: 53
ExperimentServent(0x9aba44): result: 1, tx: 243, rx: 134
ExperimentServent(0x9aba62): result: 1, tx: 6, rx: 54
ExperimentServent(0x9aba1c): result: 1, tx: 7, rx: 56
ExperimentServent(0x9aba3c): result: 1, tx: 123, rx: 119
ExperimentServent(0x9aba76): result: 1, tx: 43, rx: 50
ExperimentServent(0x9ababc): result: 1, tx: 43, rx: 42
ExperimentServent(0x9aba58): result: 1, tx: 44, rx: 52
ExperimentServent(0x9abaee): result: 1, tx: 7, rx: 64
ExperimentServent(0x9abaa8): result: 1, tx: 194, rx: 127
ExperimentServent(0x9abada): result: 1, tx: 69, rx: 45
ExperimentServent(0x9aba94): result: 1, tx: 7, rx: 82
ExperimentServent(0x9abf40): result: 1, tx: 136, rx: 213
ExperimentServent(0x9aaa72): result: 1, tx: 6, rx: 45
ExperimentServent(0x9aba80): result: 1, tx: 37, rx: 35
ExperimentServent(0x9aba9e): result: 1, tx: 7, rx: 76
ExperimentServent(0x9abac6): result: 1, tx: 85, rx: 63
ExperimentServent(0x9abad0): result: 1, tx: 6, rx: 70
ExperimentServent(0x9abaf8): result: 1, tx: 123, rx: 74
ExperimentServent(0x9aba24): result: 1, tx: 160, rx: 96
ExperimentServent(0x9aba8a): result: 1, tx: 207, rx: 149
ExperimentServent(0x9abab2): result: 1, tx: 209, rx: 99
ExperimentServent(0x9abf4a): result: 1, tx: 116, rx: 92
ExperimentServent(0x9abf1a): result: 1, tx: 127, rx: 216
ExperimentServent(0x9abf2c): result: 1, tx: 132, rx: 138
ExperimentServent(0x9abae4): result: 1, tx: 170, rx: 83
ExperimentServent(0x9abf04): result: 1, tx: 156, rx: 114
ExperimentServent(0x9abf20): result: 1, tx: 7, rx: 92
ExperimentServent(0x9abf0e): result: 1, tx: 111, rx: 122
ExperimentServent(0x9abf50): result: 1, tx: 6, rx: 50
ExperimentServent(0x9abf36): result: 1, tx: 202, rx: 262
==============================================================8
ExperimentServent(0xa4194e): result: 1, tx: 5, rx: 50
ExperimentServent(0xa40972): result: 1, tx: 5, rx: 51
ExperimentServent(0xa4191c): result: 1, tx: 206, rx: 100
ExperimentServent(0xa40910): result: 1, tx: 70, rx: 70
ExperimentServent(0xa4199e): result: 1, tx: 140, rx: 96
ExperimentServent(0xa4090a): result: 1, tx: 54, rx: 39
ExperimentServent(0xa41980): result: 1, tx: 28, rx: 57
ExperimentServent(0xa419e4): result: 1, tx: 5, rx: 55
ExperimentServent(0xa419a8): result: 1, tx: 60, rx: 57
ExperimentServent(0xa41976): result: 1, tx: 5, rx: 47
ExperimentServent(0xa4198a): result: 1, tx: 126, rx: 155
ExperimentServent(0xa41994): result: 1, tx: 20, rx: 25
ExperimentServent(0xa4193c): result: 1, tx: 40, rx: 50
ExperimentServent(0xa41944): result: 1, tx: 32, rx: 61
ExperimentServent(0xa4196c): result: 1, tx: 89, rx: 46
ExperimentServent(0xa4093c): result: 1, tx: 5, rx: 48
ExperimentServent(0xa409ec): result: 1, tx: 87, rx: 53
ExperimentServent(0xa41924): result: 1, tx: 5, rx: 38
ExperimentServent(0xa41e38): result: 1, tx: 94, rx: 68
ExperimentServent(0xa41934): result: 1, tx: 23, rx: 49
ExperimentServent(0xa419c6): result: 1, tx: 5, rx: 63
ExperimentServent(0xa41958): result: 1, tx: 54, rx: 76
ExperimentServent(0xa419bc): result: 1, tx: 154, rx: 89
ExperimentServent(0xa41e48): result: 1, tx: 5, rx: 43
ExperimentServent(0xa419ee): result: 1, tx: 5, rx: 46
ExperimentServent(0xa419d0): result: 1, tx: 120, rx: 78
ExperimentServent(0xa41962): result: 1, tx: 52, rx: 18
ExperimentServent(0xa419da): result: 1, tx: 63, rx: 30
ExperimentServent(0xa41e04): result: 1, tx: 47, rx: 45
ExperimentServent(0xa41e24): result: 1, tx: 111, rx: 64
ExperimentServent(0xa41e2e): result: 1, tx: 46, rx: 48
ExperimentServent(0xa41e50): result: 1, tx: 5, rx: 46
ExperimentServent(0xa419f8): result: 1, tx: 58, rx: 35
ExperimentServent(0xa419b2): result: 1, tx: 194, rx: 116
ExperimentServent(0xa41e1a): result: 1, tx: 61, rx: 22
ExperimentServent(0xa41e42): result: 1, tx: 88, rx: 48
ExperimentServent(0xa41e0e): result: 1, tx: 84, rx: 104
===================================================================9
ExperimentServent(0xa66322): result: 1, tx: 24, rx: 27
ExperimentServent(0xa66372): result: 1, tx: 54, rx: 44
ExperimentServent(0xa663ec): result: 1, tx: 47, rx: 35
ExperimentServent(0xa67334): result: 1, tx: 5, rx: 42
ExperimentServent(0xa66310): result: 1, tx: 21, rx: 36
ExperimentServent(0xa67324): result: 1, tx: 65, rx: 47
ExperimentServent(0xa6736c): result: 1, tx: 95, rx: 53
ExperimentServent(0xa6734e): result: 1, tx: 21, rx: 39
ExperimentServent(0xa6731c): result: 1, tx: 77, rx: 44
ExperimentServent(0xa6738a): result: 1, tx: 5, rx: 36
ExperimentServent(0xa67822): result: 1, tx: 24, rx: 35
ExperimentServent(0xa6732c): result: 1, tx: 53, rx: 33
ExperimentServent(0xa6782c): result: 1, tx: 50, rx: 34
ExperimentServent(0xa67394): result: 1, tx: 26, rx: 28
ExperimentServent(0xa6733c): result: 1, tx: 32, rx: 27
ExperimentServent(0xa67358): result: 1, tx: 101, rx: 64
ExperimentServent(0xa673ee): result: 1, tx: 4, rx: 35
ExperimentServent(0xa673e4): result: 1, tx: 84, rx: 44
ExperimentServent(0xa67804): result: 1, tx: 4, rx: 49
ExperimentServent(0xa673da): result: 1, tx: 97, rx: 60
ExperimentServent(0xa67344): result: 1, tx: 64, rx: 35
ExperimentServent(0xa67836): result: 1, tx: 73, rx: 43
ExperimentServent(0xa67840): result: 1, tx: 36, rx: 24
ExperimentServent(0xa67850): result: 1, tx: 5, rx: 51
ExperimentServent(0xa67362): result: 1, tx: 25, rx: 32
ExperimentServent(0xa67376): result: 1, tx: 4, rx: 17
ExperimentServent(0xa6739e): result: 1, tx: 5, rx: 31
ExperimentServent(0xa673b2): result: 1, tx: 39, rx: 38
ExperimentServent(0xa67380): result: 1, tx: 74, rx: 147
ExperimentServent(0xa67818): result: 1, tx: 4, rx: 38
ExperimentServent(0xa6784a): result: 1, tx: 131, rx: 84
ExperimentServent(0xa6780e): result: 1, tx: 62, rx: 32
ExperimentServent(0xa673c6): result: 1, tx: 102, rx: 113
ExperimentServent(0xa673f8): result: 1, tx: 123, rx: 85
ExperimentServent(0xa673d0): result: 1, tx: 85, rx: 144
ExperimentServent(0xa673bc): result: 1, tx: 62, rx: 34
ExperimentServent(0xa673a8): result: 1, tx: 48, rx: 26
====================================================================10
ExperimentServent(0x8a139e): result: 1, tx: 24, rx: 40
ExperimentServent(0x8a0372): result: 1, tx: 27, rx: 35
ExperimentServent(0x8a131c): result: 1, tx: 41, rx: 29
ExperimentServent(0x8a03ec): result: 1, tx: 4, rx: 23
ExperimentServent(0x8a1362): result: 1, tx: 5, rx: 43
ExperimentServent(0x8a1324): result: 1, tx: 5, rx: 43
ExperimentServent(0x8a136c): result: 1, tx: 80, rx: 47
ExperimentServent(0x8a033c): result: 1, tx: 54, rx: 39
ExperimentServent(0x8a13a8): result: 1, tx: 36, rx: 25
ExperimentServent(0x8a1380): result: 1, tx: 22, rx: 30
ExperimentServent(0x8a13d0): result: 1, tx: 5, rx: 38
ExperimentServent(0x8a1376): result: 1, tx: 43, rx: 37
ExperimentServent(0x8a13bc): result: 1, tx: 25, rx: 40
ExperimentServent(0x8a1344): result: 1, tx: 31, rx: 45
ExperimentServent(0x8a13b2): result: 1, tx: 113, rx: 70
ExperimentServent(0x8a133c): result: 1, tx: 100, rx: 110
ExperimentServent(0x8a181a): result: 1, tx: 25, rx: 31
ExperimentServent(0x8a1850): result: 1, tx: 5, rx: 41
ExperimentServent(0x8a1824): result: 1, tx: 103, rx: 53
ExperimentServent(0x8a13c6): result: 1, tx: 5, rx: 42
ExperimentServent(0x8a138a): result: 1, tx: 74, rx: 118
ExperimentServent(0x8a1358): result: 1, tx: 37, rx: 34
ExperimentServent(0x8a13da): result: 1, tx: 102, rx: 58
ExperimentServent(0x8a1804): result: 1, tx: 133, rx: 83
ExperimentServent(0x8a13f8): result: 1, tx: 151, rx: 96
ExperimentServent(0x8a184a): result: 1, tx: 53, rx: 33
ExperimentServent(0x8a180e): result: 1, tx: 59, rx: 25
ExperimentServent(0x8a13e4): result: 1, tx: 122, rx: 169
ExperimentServent(0x8a182e): result: 1, tx: 79, rx: 42
ExperimentServent(0x8a1838): result: 1, tx: 68, rx: 38
ExperimentServent(0x8a13ee): result: 1, tx: 102, rx: 51
ExperimentServent(0x8a183e): result: 1, tx: 5, rx: 41

