====================
density: 0.2
nodes: 10
Node have file: 2
=====================
ExperimentServent(0xb746c06c): result: 1, tx: 22, rx: 15
ExperimentServent(0xb73f6e6c): result: 1, tx: 5, rx: 9
ExperimentServent(0xb746cdac): result: 1, tx: 6, rx: 9
ExperimentServent(0xb73f94ac): result: 1, tx: 12, rx: 10
ExperimentServent(0xb746afac): result: 1, tx: 7, rx: 7
ExperimentServent(0xb73f952c): result: 1, tx: 3, rx: 3
ExperimentServent(0xb746afcc): result: 1, tx: 2, rx: 4
=====================
ExperimentServent(0xb747efcc): result: 1, tx: 23, rx: 18
ExperimentServent(0xb748014c): result: 1, tx: 13, rx: 14
ExperimentServent(0xb740ae8c): result: 1, tx: 17, rx: 13
ExperimentServent(0xb74800ac): result: 1, tx: 13, rx: 13
ExperimentServent(0xb740d4cc): result: 1, tx: 15, rx: 13
ExperimentServent(0xb7480dcc): result: 1, tx: 4, rx: 7
ExperimentServent(0xb74804cc): result: 1, tx: 7, rx: 8
ExperimentServent(0xb74802cc): result: 1, tx: 4, rx: 6
ExperimentServent(0xb740d54c): result: 1, tx: 3, rx: 4
ExperimentServent(0xb748012c): result: 1, tx: 1, rx: 4
=====================
ExperimentServent(0xb74ad10c): result: 1, tx: 12, rx: 14
ExperimentServent(0xb7437e6c): result: 1, tx: 21, rx: 17
ExperimentServent(0xb74abfcc): result: 1, tx: 13, rx: 11
ExperimentServent(0xb74ad06c): result: 1, tx: 8, rx: 8
ExperimentServent(0xb74ad2ac): result: 1, tx: 8, rx: 8
ExperimentServent(0xb74abfac): result: 1, tx: 5, rx: 5
ExperimentServent(0xb74addac): result: 1, tx: 5, rx: 6
ExperimentServent(0xb743a4ac): result: 1, tx: 4, rx: 8
ExperimentServent(0xb743a52c): result: 1, tx: 7, rx: 6
ExperimentServent(0xb74ad48c): result: 1, tx: 2, rx: 2
=====================
ExperimentServent(0xb74ad10c): result: 1, tx: 12, rx: 14
ExperimentServent(0xb7437e6c): result: 1, tx: 21, rx: 17
ExperimentServent(0xb74abfcc): result: 1, tx: 13, rx: 11
ExperimentServent(0xb74ad06c): result: 1, tx: 8, rx: 8
ExperimentServent(0xb74ad2ac): result: 1, tx: 8, rx: 8
ExperimentServent(0xb74abfac): result: 1, tx: 5, rx: 5
ExperimentServent(0xb74addac): result: 1, tx: 5, rx: 6
ExperimentServent(0xb743a4ac): result: 1, tx: 4, rx: 8
ExperimentServent(0xb743a52c): result: 1, tx: 7, rx: 6
ExperimentServent(0xb74ad48c): result: 1, tx: 2, rx: 2
=====================
ExperimentServent(0xb74aefac): result: 1, tx: 33, rx: 21
ExperimentServent(0xb74b0dac): result: 1, tx: 13, rx: 14
ExperimentServent(0xb743ae6c): result: 1, tx: 11, rx: 11
ExperimentServent(0xb74b02ac): result: 1, tx: 9, rx: 8
