====================
density: 0.3
nodes: 20
Node have file: 2
=====================
ExperimentServent(0xa3f3aa): result: 1, tx: 10, rx: 13
ExperimentServent(0xa3f370): result: 1, tx: 2, rx: 3
=====================
ExperimentServent(0x962520): result: 1, tx: 21, rx: 24
ExperimentServent(0x965aaa): result: 1, tx: 25, rx: 42
ExperimentServent(0x965a70): result: 1, tx: 28, rx: 20
ExperimentServent(0x962506): result: 1, tx: 21, rx: 14
ExperimentServent(0x962518): result: 1, tx: 12, rx: 13
ExperimentServent(0x965a60): result: 1, tx: 28, rx: 22
ExperimentServent(0x965a8c): result: 1, tx: 18, rx: 18
ExperimentServent(0x9658f4): result: 1, tx: 20, rx: 14
ExperimentServent(0x965a82): result: 1, tx: 11, rx: 10
ExperimentServent(0x965a68): result: 1, tx: 46, rx: 42
ExperimentServent(0x965a58): result: 1, tx: 23, rx: 23
ExperimentServent(0x965a78): result: 1, tx: 12, rx: 17
ExperimentServent(0x965abe): result: 1, tx: 25, rx: 21
ExperimentServent(0x962558): result: 1, tx: 18, rx: 16
ExperimentServent(0x96251e): result: 1, tx: 3, rx: 12
ExperimentServent(0x965a96): result: 1, tx: 14, rx: 14
ExperimentServent(0x965aa0): result: 1, tx: 26, rx: 33
ExperimentServent(0x965ab4): result: 1, tx: 14, rx: 13
ExperimentServent(0x962538): result: 1, tx: 11, rx: 8
ExperimentServent(0x9625e8): result: 1, tx: 4, rx: 4
=====================
ExperimentServent(0x9f2820): result: 1, tx: 62, rx: 43
ExperimentServent(0x9f2858): result: 1, tx: 57, rx: 54
ExperimentServent(0x9f2806): result: 1, tx: 20, rx: 16
ExperimentServent(0x9f5bf4): result: 1, tx: 26, rx: 21
ExperimentServent(0x9f5d78): result: 1, tx: 22, rx: 18
ExperimentServent(0x9f5d82): result: 1, tx: 28, rx: 17
ExperimentServent(0x9f5d58): result: 1, tx: 13, rx: 13
ExperimentServent(0x9f5d96): result: 1, tx: 14, rx: 17
ExperimentServent(0x9f2818): result: 1, tx: 16, rx: 17
ExperimentServent(0x9f5d68): result: 1, tx: 32, rx: 31
ExperimentServent(0x9f5d60): result: 1, tx: 15, rx: 15
ExperimentServent(0x9f5daa): result: 1, tx: 6, rx: 18
ExperimentServent(0x9f5d70): result: 1, tx: 11, rx: 14
ExperimentServent(0x9f5da0): result: 1, tx: 5, rx: 26
ExperimentServent(0x9f2838): result: 1, tx: 14, rx: 8
ExperimentServent(0x9f281e): result: 1, tx: 8, rx: 6
ExperimentServent(0x9f5db4): result: 1, tx: 26, rx: 34
ExperimentServent(0x9f28e8): result: 1, tx: 9, rx: 7
ExperimentServent(0x9f5dbe): result: 1, tx: 12, rx: 13
ExperimentServent(0x9f5d8c): result: 1, tx: 1, rx: 9
=====================
