====================
density: 0.3
nodes: 20
Node have file: 1
=====================
ExperimentServent(0xb737e5cc): result: 1, tx: 82, rx: 61
ExperimentServent(0xb737e4cc): result: 1, tx: 112, rx: 77
ExperimentServent(0xb737eb2c): result: 1, tx: 87, rx: 98
=====================
ExperimentServent(0xb7416b2c): result: 1, tx: 30, rx: 81
ExperimentServent(0xb741676c): result: 1, tx: 18, rx: 20
ExperimentServent(0xb748912c): result: 1, tx: 64, rx: 49
ExperimentServent(0xb7489dcc): result: 1, tx: 100, rx: 96
ExperimentServent(0xb74164cc): result: 1, tx: 65, rx: 67
ExperimentServent(0xb741664c): result: 1, tx: 86, rx: 69
ExperimentServent(0xb741694c): result: 1, tx: 70, rx: 61
ExperimentServent(0xb74894cc): result: 1, tx: 59, rx: 76
ExperimentServent(0xb74169ec): result: 1, tx: 27, rx: 63
ExperimentServent(0xb74168ac): result: 1, tx: 70, rx: 65
ExperimentServent(0xb741654c): result: 1, tx: 74, rx: 50
ExperimentServent(0xb74892cc): result: 1, tx: 43, rx: 32
ExperimentServent(0xb74166cc): result: 1, tx: 49, rx: 47
ExperimentServent(0xb741680c): result: 1, tx: 31, rx: 50
ExperimentServent(0xb7413e8c): result: 1, tx: 44, rx: 67
ExperimentServent(0xb7416a8c): result: 1, tx: 16, rx: 48
=====================
ExperimentServent(0xb73715cc): result: 1, tx: 15, rx: 39
ExperimentServent(0xb73719ec): result: 1, tx: 35, rx: 60
ExperimentServent(0xb73e44cc): result: 1, tx: 35, rx: 43
ExperimentServent(0xb737176c): result: 1, tx: 84, rx: 69
ExperimentServent(0xb73716cc): result: 1, tx: 33, rx: 30
ExperimentServent(0xb73718ac): result: 1, tx: 18, rx: 33
ExperimentServent(0xb7371b2c): result: 1, tx: 22, rx: 69
ExperimentServent(0xb73e412c): result: 1, tx: 67, rx: 71
ExperimentServent(0xb73e414c): result: 1, tx: 34, rx: 43
ExperimentServent(0xb737164c): result: 1, tx: 64, rx: 67
ExperimentServent(0xb737180c): result: 1, tx: 60, rx: 73
ExperimentServent(0xb73e40ac): result: 1, tx: 86, rx: 66
ExperimentServent(0xb73714cc): result: 1, tx: 107, rx: 60
ExperimentServent(0xb736ee8c): result: 1, tx: 97, rx: 75
ExperimentServent(0xb737154c): result: 1, tx: 70, rx: 55
ExperimentServent(0xb7371a8c): result: 1, tx: 76, rx: 52
ExperimentServent(0xb737194c): result: 1, tx: 80, rx: 62
=====================
ExperimentServent(0xb74b4dcc): result: 1, tx: 18, rx: 29
ExperimentServent(0xb74b42cc): result: 1, tx: 40, rx: 82
ExperimentServent(0xb744154c): result: 1, tx: 20, rx: 37
ExperimentServent(0xb744194c): result: 1, tx: 17, rx: 84
ExperimentServent(0xb74414cc): result: 1, tx: 81, rx: 63
ExperimentServent(0xb7441a8c): result: 1, tx: 69, rx: 70
ExperimentServent(0xb74b414c): result: 1, tx: 56, rx: 56
ExperimentServent(0xb74415cc): result: 1, tx: 75, rx: 83
ExperimentServent(0xb7441b2c): result: 1, tx: 39, rx: 53
ExperimentServent(0xb74419ec): result: 1, tx: 68, rx: 67
ExperimentServent(0xb744176c): result: 1, tx: 54, rx: 115
ExperimentServent(0xb74416cc): result: 1, tx: 40, rx: 51
ExperimentServent(0xb743ee8c): result: 1, tx: 58, rx: 49
ExperimentServent(0xb744180c): result: 1, tx: 164, rx: 100
ExperimentServent(0xb74b40ac): result: 1, tx: 18, rx: 19
ExperimentServent(0xb744164c): result: 1, tx: 44, rx: 59
ExperimentServent(0xb74b412c): result: 1, tx: 119, rx: 82
ExperimentServent(0xb74418ac): result: 1, tx: 151, rx: 105
=====================
ExperimentServent(0xb74669ec): result: 1, tx: 11, rx: 31
ExperimentServent(0xb74665cc): result: 1, tx: 12, rx: 17
ExperimentServent(0xb74d912c): result: 1, tx: 14, rx: 18
ExperimentServent(0xb74d94cc): result: 1, tx: 12, rx: 19
ExperimentServent(0xb74d914c): result: 1, tx: 19, rx: 29
ExperimentServent(0xb746676c): result: 1, tx: 50, rx: 52
ExperimentServent(0xb74666cc): result: 1, tx: 37, rx: 38
ExperimentServent(0xb7463e8c): result: 1, tx: 28, rx: 25
ExperimentServent(0xb74668ac): result: 1, tx: 48, rx: 60
ExperimentServent(0xb74664cc): result: 1, tx: 80, rx: 62
ExperimentServent(0xb74d92cc): result: 1, tx: 44, rx: 58
ExperimentServent(0xb7466a8c): result: 1, tx: 8, rx: 12
ExperimentServent(0xb746694c): result: 1, tx: 53, rx: 70
ExperimentServent(0xb74d9dcc): result: 1, tx: 62, rx: 48
ExperimentServent(0xb746680c): result: 1, tx: 53, rx: 41
ExperimentServent(0xb7466b2c): result: 1, tx: 77, rx: 52
ExperimentServent(0xb746664c): result: 1, tx: 77, rx: 67
=====================
ExperimentServent(0xb741b4cc): result: 1, tx: 114, rx: 79
ExperimentServent(0xb7419fcc): result: 1, tx: 125, rx: 70
ExperimentServent(0xb741b0ac): result: 1, tx: 79, rx: 62
ExperimentServent(0xb741b14c): result: 1, tx: 91, rx: 65
ExperimentServent(0xb73a864c): result: 1, tx: 48, rx: 78
ExperimentServent(0xb73a5e8c): result: 1, tx: 116, rx: 79
ExperimentServent(0xb741b2cc): result: 1, tx: 88, rx: 58
ExperimentServent(0xb741b12c): result: 1, tx: 24, rx: 62
ExperimentServent(0xb73a88ac): result: 1, tx: 33, rx: 73
ExperimentServent(0xb73a8a8c): result: 1, tx: 20, rx: 39
ExperimentServent(0xb73a854c): result: 1, tx: 40, rx: 50
ExperimentServent(0xb73a84cc): result: 1, tx: 16, rx: 54
ExperimentServent(0xb73a894c): result: 1, tx: 23, rx: 36
ExperimentServent(0xb73a880c): result: 1, tx: 24, rx: 37
ExperimentServent(0xb73a876c): result: 1, tx: 37, rx: 26
ExperimentServent(0xb73a8b2c): result: 1, tx: 54, rx: 87
ExperimentServent(0xb73a86cc): result: 1, tx: 32, rx: 23
ExperimentServent(0xb73a89ec): result: 1, tx: 69, rx: 71
=====================
ExperimentServent(0xb740780c): result: 1, tx: 46, rx: 69
ExperimentServent(0xb74079ec): result: 1, tx: 20, rx: 61
ExperimentServent(0xb74078ac): result: 1, tx: 31, rx: 38
ExperimentServent(0xb74076cc): result: 1, tx: 78, rx: 68
ExperimentServent(0xb7478fcc): result: 1, tx: 50, rx: 45
ExperimentServent(0xb747a0ac): result: 1, tx: 52, rx: 58
ExperimentServent(0xb740764c): result: 1, tx: 81, rx: 51
ExperimentServent(0xb7407a8c): result: 1, tx: 17, rx: 17
ExperimentServent(0xb747a14c): result: 1, tx: 47, rx: 68
ExperimentServent(0xb747a2cc): result: 1, tx: 16, rx: 45
ExperimentServent(0xb747adcc): result: 1, tx: 29, rx: 67
ExperimentServent(0xb740754c): result: 1, tx: 68, rx: 57
ExperimentServent(0xb740776c): result: 1, tx: 101, rx: 61
ExperimentServent(0xb74075cc): result: 1, tx: 91, rx: 61
ExperimentServent(0xb74074cc): result: 1, tx: 36, rx: 24
ExperimentServent(0xb7407b2c): result: 1, tx: 82, rx: 52
ExperimentServent(0xb740794c): result: 1, tx: 32, rx: 26
=====================
ExperimentServent(0xb740f9ec): result: 1, tx: 74, rx: 50
ExperimentServent(0xb740f80c): result: 1, tx: 41, rx: 49
ExperimentServent(0xb7482dcc): result: 1, tx: 29, rx: 74
ExperimentServent(0xb740f5cc): result: 1, tx: 46, rx: 64
ExperimentServent(0xb740fa8c): result: 1, tx: 44, rx: 52
ExperimentServent(0xb740f8ac): result: 1, tx: 41, rx: 67
ExperimentServent(0xb748212c): result: 1, tx: 31, rx: 57
ExperimentServent(0xb740f6cc): result: 1, tx: 60, rx: 61
ExperimentServent(0xb740ce8c): result: 1, tx: 85, rx: 93
ExperimentServent(0xb740f76c): result: 1, tx: 22, rx: 45
ExperimentServent(0xb74822cc): result: 1, tx: 47, rx: 58
ExperimentServent(0xb740fb2c): result: 1, tx: 62, rx: 62
ExperimentServent(0xb740f54c): result: 1, tx: 63, rx: 75
ExperimentServent(0xb740f4cc): result: 1, tx: 131, rx: 94
ExperimentServent(0xb740f94c): result: 1, tx: 177, rx: 111
=====================
ExperimentServent(0xb74369ec): result: 1, tx: 14, rx: 44
ExperimentServent(0xb74a90ac): result: 1, tx: 16, rx: 31
ExperimentServent(0xb74a94cc): result: 1, tx: 76, rx: 70
ExperimentServent(0xb74a92cc): result: 1, tx: 62, rx: 62
ExperimentServent(0xb74a914c): result: 1, tx: 103, rx: 68
ExperimentServent(0xb74a9dcc): result: 1, tx: 26, rx: 53
ExperimentServent(0xb74364cc): result: 1, tx: 48, rx: 76
ExperimentServent(0xb743694c): result: 1, tx: 83, rx: 77
ExperimentServent(0xb7436a8c): result: 1, tx: 33, rx: 36
ExperimentServent(0xb743654c): result: 1, tx: 51, rx: 64
ExperimentServent(0xb743664c): result: 1, tx: 19, rx: 36
ExperimentServent(0xb743680c): result: 1, tx: 36, rx: 38
ExperimentServent(0xb74365cc): result: 1, tx: 80, rx: 77
ExperimentServent(0xb74368ac): result: 1, tx: 65, rx: 39
ExperimentServent(0xb74a912c): result: 1, tx: 42, rx: 47
ExperimentServent(0xb7436b2c): result: 1, tx: 123, rx: 105
ExperimentServent(0xb743676c): result: 1, tx: 168, rx: 115
