====================
density: 0.4
nodes: 30
Node have file: 2
=====================
ExperimentServent(0xb743548c): result: 1, tx: 146, rx: 124
ExperimentServent(0xb743510c): result: 1, tx: 157, rx: 153
ExperimentServent(0xb73c25ac): result: 1, tx: 296, rx: 184
ExperimentServent(0xb73c27ec): result: 1, tx: 46, rx: 148
ExperimentServent(0xb743506c): result: 1, tx: 181, rx: 209
ExperimentServent(0xb7433fcc): result: 1, tx: 80, rx: 110
ExperimentServent(0xb73c2bac): result: 1, tx: 218, rx: 180
ExperimentServent(0xb73c2f6c): result: 1, tx: 28, rx: 149
ExperimentServent(0xb73c24ac): result: 1, tx: 203, rx: 171
ExperimentServent(0xb73c274c): result: 1, tx: 116, rx: 104
ExperimentServent(0xb73c2cec): result: 1, tx: 106, rx: 115
ExperimentServent(0xb73c26ac): result: 1, tx: 218, rx: 146
ExperimentServent(0xb73c2c4c): result: 1, tx: 60, rx: 132
ExperimentServent(0xb73c81cc): result: 1, tx: 191, rx: 157
ExperimentServent(0xb73c252c): result: 1, tx: 81, rx: 102
ExperimentServent(0xb73c262c): result: 1, tx: 43, rx: 226
ExperimentServent(0xb73c288c): result: 1, tx: 109, rx: 87
ExperimentServent(0xb73bfe6c): result: 1, tx: 28, rx: 176
ExperimentServent(0xb7435dac): result: 1, tx: 150, rx: 208
ExperimentServent(0xb73c2ecc): result: 1, tx: 437, rx: 245
ExperimentServent(0xb74352ac): result: 1, tx: 280, rx: 182
ExperimentServent(0xb73c804c): result: 1, tx: 102, rx: 139
ExperimentServent(0xb73c29cc): result: 1, tx: 42, rx: 72
ExperimentServent(0xb73c2a6c): result: 1, tx: 183, rx: 159
ExperimentServent(0xb73c2b0c): result: 1, tx: 382, rx: 268
ExperimentServent(0xb73c292c): result: 1, tx: 146, rx: 135
ExperimentServent(0xb73c2e2c): result: 1, tx: 133, rx: 225
ExperimentServent(0xb73c810c): result: 1, tx: 46, rx: 100
ExperimentServent(0xb73c2d8c): result: 1, tx: 478, rx: 305
ExperimentServent(0xb7433fac): result: 1, tx: 252, rx: 227
=====================
ExperimentServent(0xb741348c): result: 1, tx: 339, rx: 210
ExperimentServent(0xb73a062c): result: 1, tx: 53, rx: 149
ExperimentServent(0xb73a0c4c): result: 1, tx: 327, rx: 211
ExperimentServent(0xb73a0cec): result: 1, tx: 221, rx: 167
ExperimentServent(0xb73a09cc): result: 1, tx: 99, rx: 140
ExperimentServent(0xb73a07ec): result: 1, tx: 235, rx: 164
ExperimentServent(0xb73a0a6c): result: 1, tx: 197, rx: 188
ExperimentServent(0xb7411fcc): result: 1, tx: 258, rx: 128
ExperimentServent(0xb741306c): result: 1, tx: 160, rx: 146
ExperimentServent(0xb73a074c): result: 1, tx: 44, rx: 135
ExperimentServent(0xb73a0f6c): result: 1, tx: 83, rx: 169
ExperimentServent(0xb7413dac): result: 1, tx: 174, rx: 147
ExperimentServent(0xb7411fac): result: 1, tx: 177, rx: 187
ExperimentServent(0xb73a0b0c): result: 1, tx: 27, rx: 195
ExperimentServent(0xb73a04ac): result: 1, tx: 70, rx: 118
ExperimentServent(0xb73a0ecc): result: 1, tx: 81, rx: 103
ExperimentServent(0xb74132ac): result: 1, tx: 233, rx: 189
