====================
density: 0.4
nodes: 30
Node have file: 1
=====================
ExperimentServent(0xb73a6b0c): result: 1, tx: 264, rx: 199
ExperimentServent(0xb741910c): result: 1, tx: 26, rx: 172
ExperimentServent(0xb7419dac): result: 1, tx: 36, rx: 164
ExperimentServent(0xb73a688c): result: 1, tx: 178, rx: 208
ExperimentServent(0xb73a692c): result: 1, tx: 284, rx: 224
ExperimentServent(0xb73ac06c): result: 1, tx: 116, rx: 135
ExperimentServent(0xb73a69cc): result: 1, tx: 49, rx: 170
ExperimentServent(0xb73a6bac): result: 1, tx: 256, rx: 193
ExperimentServent(0xb73a652c): result: 1, tx: 304, rx: 181
ExperimentServent(0xb73a64ac): result: 1, tx: 97, rx: 141
ExperimentServent(0xb73a6a6c): result: 1, tx: 76, rx: 159
ExperimentServent(0xb741906c): result: 1, tx: 109, rx: 165
ExperimentServent(0xb73ac1ec): result: 1, tx: 74, rx: 210
ExperimentServent(0xb73a6ecc): result: 1, tx: 324, rx: 207
ExperimentServent(0xb73a67ec): result: 1, tx: 334, rx: 241
ExperimentServent(0xb73a6d8c): result: 1, tx: 141, rx: 101
ExperimentServent(0xb73a6e2c): result: 1, tx: 120, rx: 178
ExperimentServent(0xb73a65ac): result: 1, tx: 244, rx: 182
ExperimentServent(0xb73a66ac): result: 1, tx: 240, rx: 268
ExperimentServent(0xb73a6c4c): result: 1, tx: 345, rx: 258
ExperimentServent(0xb7417fcc): result: 1, tx: 156, rx: 157
ExperimentServent(0xb73a6cec): result: 1, tx: 368, rx: 274
ExperimentServent(0xb73a6f8c): result: 1, tx: 55, rx: 108
ExperimentServent(0xb73a662c): result: 1, tx: 428, rx: 276
ExperimentServent(0xb73a3e6c): result: 1, tx: 122, rx: 202
ExperimentServent(0xb73ac12c): result: 1, tx: 139, rx: 219
=====================
ExperimentServent(0xb745962c): result: 1, tx: 267, rx: 189
ExperimentServent(0xb74cc48c): result: 1, tx: 196, rx: 148
ExperimentServent(0xb74cc10c): result: 1, tx: 47, rx: 163
ExperimentServent(0xb745988c): result: 1, tx: 58, rx: 184
ExperimentServent(0xb745992c): result: 1, tx: 101, rx: 149
ExperimentServent(0xb74cc2ac): result: 1, tx: 367, rx: 233
ExperimentServent(0xb74595ac): result: 1, tx: 222, rx: 199
ExperimentServent(0xb7456e6c): result: 1, tx: 257, rx: 217
ExperimentServent(0xb745974c): result: 1, tx: 103, rx: 203
ExperimentServent(0xb74cc06c): result: 1, tx: 142, rx: 187
ExperimentServent(0xb74594ac): result: 1, tx: 227, rx: 218
ExperimentServent(0xb74596ac): result: 1, tx: 205, rx: 174
ExperimentServent(0xb745952c): result: 1, tx: 275, rx: 210
ExperimentServent(0xb7459c4c): result: 1, tx: 114, rx: 208
ExperimentServent(0xb74ccdac): result: 1, tx: 308, rx: 201
